id,recolector_prenda_id,recolector_nombre,recolector_tipo,recolector_precio,recolector_activo,prenda_id,lavandero_nombre,lavandero_tipo,lavandero_precio,lavandero_activo,diferencia_precio,created_at,updated_at
35,33,PLUMON - CAMA SENCILLA,LAVADO,38000.00,t,81,PLUMON - CAMA SENCILLA,LAVADO,0.00,t,38000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
36,55,POR KILO (4 prendas pq =1kg),ADICIONAL,25000.00,t,82,POR KILO (4 prendas pq =1kg),ADICIONAL,0.00,t,25000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
37,35,SABANA - CAMA DOBLE,LAVADO,20000.00,t,83,SABANA - CAMA DOBLE,LAVADO,0.00,t,20000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
38,36,SABANA - CAMA SENCILLA,LAVADO,17999.99,t,84,SABANA - CAMA SENCILLA,LAVADO,0.00,t,17999.99,2026-08-10 14:57:27,2026-08-10 14:57:27
39,14,SACOS DE VESTIDO,LAVADO,18000.00,t,85,SACOS DE VESTIDO,LAVADO,0.00,t,18000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
40,58,"SECADO ( cobijas, cubrelechos)",ADICIONAL,14999.99,t,86,"SECADO ( cobijas, cubrelechos)",ADICIONAL,0.00,t,14999.99,2026-08-10 14:57:27,2026-08-10 14:57:27
41,57,"SECADO (prendas de vestir, sabanas, manteles)",ADICIONAL,10000.00,t,87,"SECADO (prendas de vestir, sabanas, manteles)",ADICIONAL,0.00,t,10000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
42,56,SERVICIO PREMIUM,EXTRA,8000.00,t,39,SERVICIO PREMIUM,EXTRA,1000.00,t,7000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
43,21,SUETERS,LAVADO,15000.00,t,38,SUETERS,LAVADO,850.00,t,14150.00,2026-08-10 14:57:27,2026-08-10 14:57:27
44,47,TAPETE (1m^2),LAVADO,20000.00,t,88,TAPETE (1m^2),LAVADO,0.00,t,20000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
45,48,TAPETE (2m^2),LAVADO,37000.00,t,89,TAPETE (2m^2),LAVADO,0.00,t,37000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
46,49,TAPETE (3m^2),LAVADO,45000.00,t,90,TAPETE (3m^2),LAVADO,0.00,t,45000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
47,50,TAPETE (4m^2),LAVADO,57999.99,t,91,TAPETE (4m^2),LAVADO,0.00,t,57999.99,2026-08-10 14:57:27,2026-08-10 14:57:27
48,52,TAPETE (5m^2),LAVADO,65000.00,t,92,TAPETE (5m^2),LAVADO,0.00,t,65000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
49,51,TAPETE (6m^2),LAVADO,72000.00,t,93,TAPETE (6m^2),LAVADO,0.00,t,72000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
50,53,TAPETE GRUESO (6m^2),LAVADO,85000.00,t,94,TAPETE GRUESO (6m^2),LAVADO,0.00,t,85000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
51,4,VESTIDO DE CABALLERO,LAVADO,24000.00,t,95,VESTIDO DE CABALLERO,LAVADO,0.00,t,24000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
52,5,VESTIDO DE DAMA,LAVADO,24000.00,t,96,VESTIDO DE DAMA,LAVADO,0.00,t,24000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
53,39,ZAPATOS GRD,LAVADO,28000.00,t,97,ZAPATOS GRD,LAVADO,0.00,t,28000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
54,40,ZAPATOS PQ,LAVADO,20000.00,t,98,ZAPATOS PQ,LAVADO,0.00,t,20000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
